surfspot,beach,region,crowds,difficulty,surf height ft,tide height ft,wind kts,water temp f,temp f
Tiajuan Slough,Imperial Beach,San Diego,3.0,3.0,6,7.0,4,59,60
Imperial Pier South,Imperial Beach,San Diego,3.9,3.2,6,7.0,5,59,59
Imperial Pier North,Imperial Beach,San Diego,3.9,3.2,6,7.0,4,59,59
Cornado Beach,Cornado Beach,San Diego,3.4,3.3,6,7.1,2,59,60
Sunset Cliffs,Point Loma,San Diego,1.6,3.9,6,6.6,2,59,60
Ocean Beach Pier,Ocean Beach,San Diego,2.5,2.0,6,6.6,2,59,60
Ocean Beach ,Ocean Beach,San Diego,3.2,3.5,6,7.0,3,59,59
Misiion Beach,Misiion Beach,San Diego,2.5,3.5,6,6.5,2,59,60
Pacific Beach South,Pacific Beach,San Diego,2.3,2.3,6,6.6,2,59,60
Pacific Beach,Pacific Beach,San Diego,3.0,1.0,6,6.6,2,59,60
Old Mans at Tourmaline,Pacific Beach,San Diego,2.5,1.2,6,6.6,2,59,60
PB Point,Pacific Beach,San Diego,2.3,2.3,6,6.6,2,59,60
Birdrock,La Jolla,San Diego,3.5,4.0,6,6.6,2,59,60
Windandsea,La Jolla,San Diego,2.7,3.7,6,6.6,2,59,60
Horseshoe,La Jolla,San Diego,3.0,4.0,6,6.6,2,59,60
La Jolla Shores,La Jolla,San Diego,2.3,2.5,6,6.5,4,59,59
Scripps,La Jolla,San Diego,3.7,3.7,6,6.6,2,59,60
Scripps Pier,La Jolla,San Diego,3.7,3.7,6,6.6,2,59,60
Blacks,La Jolla,San Diego,2.1,3.9,6,6.6,2,59,60
Torrey Pines State Beach,La Jolla,San Diego,3.7,3.0,6,6.6,2,59,60
15th St,Del Mar,San Diego,1.5,2.0,4,6.6,2,59,60
Del Mar ,Del Mar,San Diego,3.3,3.3,4,6.6,2,59,60
Del Mar Beachbreak,Del Mar,San Diego,3.3,3.3,4,6.6,2,59,60
25th St,Del Mar,San Diego,4.0,4.0,4,6.6,2,59,60
Del Mar Rivermouth,Del Mar,San Diego,4.0,4.0,4,6.6,2,59,60
Seaside Reef,Cardif by the Sea,San Diego,2.0,4.0,4,6.6,2,59,60
Georges,Cardif by the Sea,San Diego,4.0,3.0,4,6.6,2,59,60
Cardiff Reef North,Cardif by the Sea,San Diego,2.3,3.0,4,6.6,2,59,60
Cardif Reef South,Cardif by the Sea,San Diego,2.3,3.0,4,6.6,2,59,60
San Elijo,Cardif by the Sea,San Diego,2.0,1.0,4,6.6,2,59,60
Traps,Cardif by the Sea,San Diego,2.0,1.0,4,6.6,2,59,60
Pipes ,Cardif by the Sea,San Diego,2.0,1.0,4,6.6,2,59,60
Swamis ,Encinitas,San Diego,3.0,2.8,4,6.6,2,59,60
D St,Encinitas,San Diego,3.3,2.3,4,6.6,2,59,59
Moonlight State Beach,Encinitas,San Diego,2.2,3.0,4,6.6,2,59,59
Beacons,Leucadia,San Diego,2.7,2.3,4,6.6,1,59,59
