surfspot,beach,region,crowds,difficulty,link,img link
Tiajuan Slough,Imperial Beach,San Diego,3,3,https://www.surfline.com/surf-report/tijuana-slough/5842041f4e65fad6a77088cb,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_2928-Large-650x433.jpg
Imperial Pier South,Imperial Beach,San Diego,3.9,3.2,https://www.surfline.com/surf-report/imperial-pier-southside/5842041f4e65fad6a7708844,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Sunset-At-Imperial-Beach-CA-with-Pier-Large-e1482471671800-650x423.jpg
Imperial Pier North,Imperial Beach,San Diego,3.9,3.2,https://www.surfline.com/surf-report/imperial-pier-northside/5842041f4e65fad6a7708847?camId=58349a78e411dc743a5d529c,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-Imperial-Beach-City-Beach-and-Pier-Sunset-90695552-e1480389034625-650x416.jpg
Cornado Beach,Cornado Beach,San Diego,3.4,3.3,https://www.surfline.com/surf-report/coronado-beach/5842041f4e65fad6a77088ce,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1896-Large1-e1544571818231-650x370.jpg
Sunset Cliffs,Point Loma,San Diego,1.6,3.9,https://www.surfline.com/surf-report/sunset-cliffs/5842041f4e65fad6a7708840,https://www.californiabeaches.com/wp-content/uploads/2014/09/Sunset-Cliffs-Park-San-Dieg-Bryce-feb2015-4-650x412.jpg
Ocean Beach Pier,Ocean Beach,San Diego,2.5,2,https://www.surfline.com/surf-report/ocean-beach-pier-/59aedf63b5e8310014bbe375,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Ocean-Beach-San-Diego-California-161828237-Large-e1518554577262-650x396.jpg
Ocean Beach ,Ocean Beach,San Diego,3.2,3.5,https://www.surfline.com/surf-report/ocean-beach/5842041f4e65fad6a770883f,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_0189-Large-650x433.jpg
Misiion Beach,Misiion Beach,San Diego,2.5,3.5,https://www.surfline.com/surf-report/mission-beach/5842041f4e65fad6a7708842,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3024crop-Large-650x452.jpg
Pacific Beach South,Pacific Beach,San Diego,2.3,2.3,https://www.surfline.com/surf-report/pacific-beach-south/5c53891576aef400012a0b67,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Pacific-Beach-Aerial-View-with-Pier-PB-San-Diego-CA-E1-Large-e1509516135898-650x385.jpg
Pacific Beach,Pacific Beach,San Diego,3,1,https://www.surfline.com/surf-report/pacific-beach/5842041f4e65fad6a7708841?camId=58349ea13421b20545c4b568,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3068crop-Large-650x356.jpg
Old Mans at Tourmaline,Pacific Beach,San Diego,2.5,1.2,https://www.surfline.com/surf-report/old-man-s-at-tourmaline/5842041f4e65fad6a77088c4?camId=5f29e43f4a641b0b4103763b,https://www.californiabeaches.com/wp-content/uploads/2014/09/Tourmaline-Surf-Park-Beach-Bryce-Apr2016-9-650x429.jpg
PB Point,Pacific Beach,San Diego,2.3,2.3,https://www.surfline.com/surf-report/pb-point/5842041f4e65fad6a77088c2,https://www.californiabeaches.com/wp-content/uploads/2014/09/Tourmaline-Surf-Park-Beach-Bryce-Apr2016-3-650x468.jpg
Birdrock,La Jolla,San Diego,3.5,4,https://www.surfline.com/surf-report/birdrock/5842041f4e65fad6a770883a,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3218-Large-650x433.jpg
Windandsea,La Jolla,San Diego,2.7,3.7,https://www.surfline.com/surf-report/windansea/5842041f4e65fad6a770883c,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-La-Jolla-CA-Windansea-Beach-E1-Large-650x367.jpg
Horseshoe,La Jolla,San Diego,3,4,https://www.surfline.com/surf-report/horseshoe/5842041f4e65fad6a770883d,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-La-Jolla-Beach-with-people-on-rocks-at-sunset-147576329-Large-650x410.jpg
La Jolla Shores,La Jolla,San Diego,2.3,2.5,https://www.surfline.com/surf-report/la-jolla-shores/5842041f4e65fad6a77088cc,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3373-Large-650x432.jpg
Scripps,La Jolla,San Diego,3.7,3.7,https://www.surfline.com/surf-report/scripps/5842041f4e65fad6a7708839?camId=5834a0733421b20545c4b584,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Scripps-pier-in-La-Jolla-at-sunset-with-beautiful-relfections-socal-Large-650x396.jpg
